5000,1003
1000,1003
2000,1003
2000,1003
2000,1003
2000,1003
2000,1003
2000,1003
2000,1003
500,1003
2000,1003
500,1003
500,1003
1500,1003
3000,1003
3000,1003
1000,1003
3000,1003
3000,1003
3000,1003
1000,1003
1000,1003
300,1003
1000,1003
300,1003
300,1003
500,1003
200,1003
200,1003
200,1003
200,1003
5000,1004
1000,1004
2000,1004
2000,1004
2000,1004
2000,1004
2000,1004
2000,1004
2000,1004
500,1004
2000,1004
500,1004
500,1004
3000,1004
4000,1004
4000,1004
1500,1004
4000,1004
4000,1004
4000,1004
1500,1004
1500,1004
500,1004
1500,1004
500,1004
500,1004
500,1004
200,1004
200,1004
200,1004
200,1004
